month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
2022-06,Georgia,11995,0,21178,8667,1114,943,0,19,6,1,1900,682,13,55,0,0,0,0,11,8,4,1,0,0,46597
2022-06,Guam,0,0,199,79,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305
2022-06,Hawaii,1856,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1860
2022-06,Idaho,6422,8,6832,5661,792,448,3,1,0,1,311,256,2,66,9,0,0,0,10,9,0,0,0,0,20831
2022-06,Illinois,281728,0,21912,10229,1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315073
2022-06,Indiana,407,44018,22310,11461,2008,1144,12,7,3,2,729,276,21,47,7,0,0,0,44,40,2,0,0,0,82538
2022-06,Iowa,3863,7031,2885,2360,158,113,14,1,0,0,17,24,0,60,16,49,0,0,2,2,0,0,0,0,16595
2022-06,Kansas,1498,461,6912,4901,806,453,0,5,1,2,488,187,8,92,8,1,0,0,2,5,0,0,0,0,15830
2022-06,Kentucky,662,315845,10740,7033,763,674,1,12,5,1,1589,790,10,17,0,0,0,0,19,8,2,1,1,0,338173
2022-06,Louisiana,2392,339,13840,6700,1105,748,0,9,3,0,895,451,9,0,0,0,0,0,14,14,2,0,0,0,26521
2022-06,Maine,495,2,4447,3773,437,308,5,1,0,0,98,71,0,22,6,1,0,0,5,5,0,0,0,0,9676
2022-06,Mariana Islands,0,0,14,13,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
2022-06,Maryland,4126,26,8401,5951,188,10,0,0,0,0,99,73,1,95,35,2,0,0,0,35,0,0,0,0,19042
2022-06,Massachusetts,8118,0,5734,2910,1325,321,22,0,0,0,13,13,2,0,0,0,0,0,28,10,9,2,0,0,18507
2022-06,Michigan,17566,6339,22279,14440,2341,997,0,0,0,0,25,189,5,93,12,0,0,0,13,11,1,1,0,0,64312
2022-06,Minnesota,13386,31932,10511,8650,1158,585,0,2,4,0,188,166,6,85,8,0,0,0,10,15,1,1,0,0,66708
2022-06,Mississippi,2617,0,8976,5134,556,477,0,6,5,2,1628,723,1,13,0,0,0,0,5,2,0,1,0,0,20146
2022-06,Missouri,1107,92,20382,13146,2377,1365,0,9,6,0,1335,628,11,305,26,6,0,0,36,28,9,0,3,0,40871
2022-06,Montana,1007,2,5015,4597,419,335,12,4,3,2,384,399,1,32,10,7,0,0,5,8,0,0,0,0,12242
2022-06,Nebraska,3899,79,115,1487,25,18,0,0,0,0,2,26,0,21,4,0,0,0,0,1,0,0,0,0,5677
2022-06,Nevada,4908,0,6351,2926,497,459,0,2,1,0,187,59,1,0,0,0,0,0,361,155,18,0,0,0,15925
2022-06,New Hampshire,905,4,6688,3396,354,1,41,13,6,0,0,8,0,113,4,3,0,0,0,0,0,1,0,0,11537
2022-06,New Jersey,0,0,6813,5022,978,0,0,0,0,0,0,0,0,1,0,0,0,0,68,67,9,2,1,1,12962
2022-06,New Mexico,519,0,7367,4361,823,406,0,2,5,2,366,248,2,45,1,0,0,0,69,39,2,1,2,0,14260
2022-06,New York,4055,5685,11860,19130,5930,768,0,1,1,1,29,38,10,45,79,6,1,1,308,316,69,4,11,1,48349
2022-06,North Carolina,30651,54,1819,13030,1398,257,0,7,6,1,1716,1098,10,773,137,11,3,2,1,16,2,0,0,0,50992
2022-06,North Dakota,1178,13,1799,2311,165,113,0,0,0,0,55,64,1,22,3,0,0,0,3,4,1,0,1,0,5733
2022-06,Ohio,6801,186,29208,13273,1636,1376,2,5,2,0,1325,406,6,210,64,1,0,0,13,4,1,0,3,0,54522
2022-06,Oklahoma,2700,2,14288,8281,1887,1070,0,18,8,0,1848,911,10,14,0,0,0,0,42,34,5,2,2,1,31123
2022-06,Oregon,5916,385,17867,10391,0,13,3,0,0,0,0,0,0,150,43,3,0,0,0,0,0,0,0,0,34771
2022-06,Pennsylvania,34445,0,48211,20917,38,0,353,0,0,0,0,0,0,757,100,3,0,0,0,0,0,0,0,0,104824
2022-06,Puerto Rico,0,0,5585,437,48,68,0,2,0,0,24,5,0,0,0,0,0,0,795,82,1,3,0,0,7050
2022-06,Rhode Island,0,0,1457,897,129,343,0,0,0,0,4,1,0,13,8,10,0,0,9,9,0,2,1,0,2883
2022-06,South Carolina,13630,521,12819,5822,873,572,2,7,2,1,887,274,5,209,18,62,0,0,9,4,2,0,0,0,35719
2022-06,South Dakota,617,0,2244,2517,207,144,0,0,0,0,129,112,1,5,1,0,0,0,5,14,3,0,0,0,5999
2022-06,Tennessee,18559,276,30112,15782,2142,0,0,0,0,0,1,0,0,157,7,0,0,0,0,0,0,0,0,0,67036
2022-06,Texas,30240,0,69148,32349,5487,3500,20,53,16,4,6884,2450,67,121,4,0,0,0,61,47,10,1,1,1,150464
2022-06,Utah,13335,60999,6333,4920,756,0,0,1,3,3,236,209,0,168,27,28,0,0,0,0,0,0,0,0,87018
2022-06,Vermont,0,0,1767,1517,136,120,0,5,5,0,9,7,1,0,0,0,0,0,1,2,0,0,0,0,3570
2022-06,Virgin Islands,241,0,44,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,302
2022-06,Virginia,308,189,27252,14648,4171,0,1,0,0,0,0,0,0,499,101,0,0,0,0,0,0,0,0,0,47169
2022-06,Washington,16440,292,38603,16561,5553,160,26,1,9,2,267,443,40,621,74,15,0,0,463,380,237,0,2,0,80189
2022-06,West Virginia,2165,98,5662,4539,344,387,0,3,1,0,755,498,1,7,3,1,0,0,4,5,0,0,0,0,14473
2022-06,Wisconsin,15128,796,17974,11110,1323,66,0,0,0,8,158,142,11,200,38,3,0,0,0,4,0,0,0,0,46961
2022-06,Wyoming,487,19,2463,2412,228,147,0,0,0,0,149,142,2,24,2,0,0,0,1,0,0,0,0,0,6076
2022-05,Alabama,17637,337,18288,10569,1085,922,1,11,6,0,2046,751,9,20,0,0,0,0,33,15,5,0,0,0,51735
2022-05,Alaska,207,10,3193,2463,303,180,0,2,1,0,160,75,0,39,22,0,0,0,2,4,0,0,0,0,6661
2022-05,Arizona,9868,1574,18297,8087,1511,1226,0,9,4,1,978,341,5,224,22,1,0,0,7,7,1,0,0,0,42163
2022-05,Arkansas,2496,289,6381,4276,327,376,2,5,5,0,952,734,1,0,0,0,0,0,2,8,0,0,0,0,15854
2022-05,California,18159,11740,37659,23729,5143,0,0,2,0,0,929,376,21,1743,871,214,0,0,7362,3033,607,20,4,0,111612
2022-05,Colorado,6357,19,19421,11234,1495,1590,0,0,0,0,0,0,0,343,42,4,0,0,0,0,0,0,0,0,40505
2022-05,Connecticut,9520,475,5463,1585,1087,0,4,0,0,0,0,0,0,0,0,0,0,0,571,128,81,0,0,0,18914
2022-05,Delaware,579,0,2071,1209,163,109,0,0,0,0,10,11,1,76,0,0,0,0,69,16,6,1,1,0,4322
2022-05,District of Columbia,479,0,369,11,0,4,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,878
2022-05,Florida,19022,0,59519,20002,4408,2853,1,13,5,0,3218,797,11,1147,78,4,0,0,311,190,56,46,41,1,111723
2022-05,Georgia,10324,0,20689,7238,779,817,0,9,4,2,1753,628,11,71,0,0,0,0,21,4,1,0,1,0,42352
2022-05,Guam,0,0,190,72,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288
2022-05,Hawaii,1331,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1334
2022-05,Idaho,5887,1,6062,5228,569,389,1,0,1,0,254,249,0,50,5,0,0,0,8,6,1,0,0,0,18711
2022-05,Illinois,249554,0,19865,8639,1031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279089
2022-05,Indiana,379,53735,19617,9957,1372,896,0,4,3,2,596,233,25,38,8,0,0,0,30,20,0,1,0,0,86916
2022-05,Iowa,3302,6978,2321,2191,129,79,8,0,1,0,21,30,0,57,20,2,0,0,1,1,0,0,1,0,15142
2022-05,Kansas,1543,104,5867,4046,499,369,0,6,0,0,434,150,7,73,12,0,0,0,5,1,1,1,0,0,13118
2022-05,Kentucky,673,318126,9753,6567,505,565,1,10,2,0,1347,668,5,25,2,0,0,0,16,15,3,0,0,0,338283
2022-05,Louisiana,2025,394,12405,5438,771,592,0,11,2,0,746,398,10,0,0,0,0,0,9,8,1,0,0,0,22810
2022-05,Maine,524,6,3457,2937,309,212,2,0,0,0,48,35,1,24,6,1,0,0,5,5,0,0,1,0,7573
2022-05,Mariana Islands,0,0,17,26,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
2022-05,Maryland,4251,28,7645,5276,123,7,0,0,0,1,93,72,1,104,17,6,0,0,0,17,0,0,0,0,17641
2022-05,Massachusetts,8416,0,5041,2508,1009,266,8,0,0,0,9,10,3,0,0,0,0,0,12,14,8,1,1,0,17306
2022-05,Michigan,17208,5510,20573,12514,1690,787,0,0,4,0,21,166,6,83,19,1,0,0,22,11,1,0,0,0,58616
2022-05,Minnesota,13299,36596,10715,9157,924,596,0,0,1,1,160,161,1,59,10,3,0,0,18,23,5,0,0,0,71729
2022-05,Mississippi,2358,0,8395,4393,457,415,0,9,1,0,1404,581,2,30,0,0,0,0,14,5,1,1,0,0,18066
2022-05,Missouri,1087,0,18363,11898,1790,1180,1,8,1,2,1144,537,12,243,36,3,0,0,30,36,8,2,0,1,36382
2022-05,Montana,1035,3,4375,4513,352,322,6,1,1,0,400,366,4,35,7,1,0,0,6,12,1,0,0,0,11440
2022-05,Nebraska,3848,53,111,1269,21,4,0,0,0,0,2,19,1,19,5,0,0,0,0,1,0,0,0,0,5353
2022-05,Nevada,2734,0,5586,2413,380,363,0,0,0,0,242,56,0,0,0,0,0,0,319,125,12,0,0,0,12230
2022-05,New Hampshire,833,3,5392,2822,248,1,22,0,4,0,0,11,0,112,4,2,0,0,0,0,0,0,0,0,9454
2022-05,New Jersey,0,0,6682,3955,813,0,0,0,0,0,0,0,0,1,0,0,0,0,74,68,7,2,2,4,11608
2022-05,New Mexico,628,0,6612,3775,514,352,0,1,2,1,304,260,0,27,0,0,0,0,65,20,4,0,1,0,12566
2022-05,New York,3980,1997,9679,12756,1771,322,0,1,0,0,37,35,6,52,68,4,1,2,294,296,30,3,12,0,31346
2022-05,North Carolina,27642,72,1579,10792,1044,212,0,13,6,1,1535,946,7,659,109,7,1,0,2,10,4,0,0,0,44641
2022-05,North Dakota,884,0,1882,2246,144,93,0,0,0,0,59,70,1,10,4,0,0,0,13,12,1,0,0,0,5419
2022-05,Ohio,7224,143,22495,11534,1208,1112,0,1,2,0,1047,329,4,170,68,7,0,0,15,11,1,0,0,0,45371
2022-05,Oklahoma,2023,3,11879,6871,1232,829,0,18,14,0,1542,784,7,15,3,0,0,0,32,27,4,2,2,0,25287
2022-05,Oregon,5617,489,15483,8842,0,2,7,0,0,0,0,0,0,167,34,0,0,0,0,0,0,0,0,0,30641
2022-05,Pennsylvania,29483,0,41014,17026,64,0,427,0,0,0,0,0,0,761,121,2,0,0,0,0,0,0,0,0,88898
2022-05,Puerto Rico,0,0,5790,401,50,51,0,1,0,0,42,10,0,0,0,0,0,0,865,89,2,4,0,0,7305
2022-05,Rhode Island,0,0,1086,680,78,228,0,0,0,0,4,1,0,21,13,5,0,0,12,8,0,0,0,0,2136
2022-05,South Carolina,10172,617,11806,4936,632,584,0,5,1,0,727,237,4,176,18,50,0,0,11,2,0,0,0,0,29978
2022-05,South Dakota,693,6,2096,2240,173,142,0,2,1,0,146,114,0,1,0,0,0,0,12,8,2,0,3,0,5639
2022-05,Tennessee,19591,440,26402,12876,1737,0,0,0,0,0,0,0,0,140,8,0,0,0,0,0,0,0,0,0,61194
2022-05,Texas,24665,0,61073,26898,3881,3084,16,40,12,2,6280,2250,58,150,19,0,0,0,57,29,6,0,2,1,128523
2022-05,Utah,10735,62037,5366,4129,482,0,0,2,4,0,241,191,1,186,34,29,0,0,0,0,0,0,0,0,83437
2022-05,Vermont,0,0,1396,1287,97,92,1,1,0,0,3,11,0,0,0,0,0,0,0,5,1,0,0,0,2894
2022-05,Virgin Islands,150,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,186
2022-05,Virginia,248,191,24118,12268,3224,1,0,0,0,0,0,0,0,452,94,3,0,0,0,0,0,0,0,0,40599
2022-05,Washington,18511,208,26620,12272,3925,89,14,2,9,7,248,450,31,561,68,4,0,0,382,294,210,0,1,2,63908
2022-05,West Virginia,1898,159,4907,4298,273,376,0,2,2,0,628,504,2,6,0,0,0,0,8,4,2,0,0,0,13069
2022-05,Wisconsin,14717,755,15938,10604,1050,52,0,0,1,1,134,112,10,200,29,4,0,0,0,4,0,0,0,0,43611
2022-05,Wyoming,476,24,2421,2148,170,131,10,1,0,1,116,135,4,27,8,0,0,0,3,8,1,0,0,0,5684
2022-04,Alabama,16150,236,20593,12513,1249,1041,0,21,2,0,2214,852,8,37,0,0,0,0,16,19,4,0,1,0,54956
2022-04,Alaska,354,19,3425,2946,391,192,0,2,1,0,114,81,1,39,14,0,0,0,5,5,0,0,0,0,7589
2022-04,Arizona,25746,1305,20628,9300,1814,1253,0,7,5,2,1211,407,5,172,18,0,0,0,16,10,0,0,0,0,61899
2022-04,Arkansas,2043,364,7659,5376,483,390,4,3,8,0,1037,832,2,0,0,0,0,0,12,7,2,0,0,0,18222
2022-04,California,17944,12972,38217,25572,5595,5,1,1,2,0,807,393,33,1986,1117,158,0,0,7491,3186,698,23,7,0,116208
2022-04,Colorado,7092,10,20608,12516,1799,1725,0,0,0,0,0,0,0,388,58,5,0,0,0,0,0,0,0,0,44201
2022-04,Connecticut,12713,673,6064,1909,1684,0,2,0,0,0,2,0,2,0,0,0,0,0,482,163,87,0,0,0,23781
2022-04,Delaware,707,0,2326,1357,178,134,0,0,0,0,21,9,0,54,0,0,0,0,58,25,6,1,1,0,4877
2022-04,District of Columbia,606,0,538,20,1,8,1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1194
2022-04,Florida,22255,0,65359,22430,4912,2931,1,6,4,0,3455,909,4,1135,92,1,0,0,316,218,61,37,27,0,124153
2022-04,Georgia,12112,0,22500,8495,849,812,0,13,10,0,1747,710,12,65,0,0,0,0,19,6,1,1,0,0,47352
2022-04,Guam,0,0,199,82,23,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,312
2022-04,Hawaii,1450,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1452
2022-04,Idaho,5386,2,6581,5795,677,396,4,1,0,1,316,285,3,82,25,1,0,0,10,13,0,0,2,0,19580
2022-04,Illinois,267196,0,24064,10548,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302986
2022-04,Indiana,908,60622,24086,13122,1933,1064,1,6,5,1,686,317,22,48,3,0,0,0,33,19,6,2,2,0,102886
2022-04,Iowa,4032,9474,2818,3058,159,85,3,1,1,0,28,40,1,76,24,6,0,0,2,1,0,0,0,0,19809
2022-04,Kansas,1451,12,6989,4915,656,415,0,1,1,1,421,184,4,55,6,0,0,0,8,8,1,0,0,0,15128
2022-04,Kentucky,809,321961,11609,8991,601,660,5,7,4,0,1548,848,5,28,5,0,0,0,25,16,3,0,0,0,347125
2022-04,Louisiana,2555,209,13978,6119,914,664,1,8,5,0,915,474,7,0,0,0,0,0,12,5,2,0,0,1,25869
2022-04,Maine,481,4,4245,3802,394,240,3,0,0,0,64,51,4,37,17,0,0,0,4,2,1,0,0,0,9349
2022-04,Mariana Islands,0,0,19,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
2022-04,Maryland,4965,41,7795,6062,136,5,0,0,0,1,73,90,8,127,18,1,0,0,0,19,2,0,1,2,19346
2022-04,Massachusetts,7916,2,5671,3282,1287,285,7,1,0,0,12,18,0,0,0,0,0,0,18,15,3,1,0,0,18518
2022-04,Michigan,18227,5754,25891,17597,2303,933,4,0,1,2,24,227,3,76,15,0,0,0,25,13,0,0,0,0,71095
2022-04,Minnesota,16124,41553,14559,13987,1228,987,0,0,1,0,182,179,1,73,28,1,0,0,26,28,1,1,0,0,88959
2022-04,Mississippi,2352,0,10141,5599,539,462,0,5,4,0,1443,640,4,6,1,0,0,0,8,9,1,1,0,0,21215
2022-04,Missouri,1332,0,21431,16216,2080,1278,0,4,2,3,1226,578,8,297,27,0,0,0,47,38,14,2,0,0,44583
2022-04,Montana,1188,1,4796,4978,422,370,12,2,3,0,440,443,1,33,6,1,0,0,6,17,0,0,0,0,12719
2022-04,Nebraska,4653,60,154,1631,20,7,0,0,0,0,4,32,0,27,10,0,0,0,0,0,0,0,0,0,6598
2022-04,Nevada,1498,0,6004,2624,437,392,0,1,0,0,203,61,0,1,0,0,0,0,349,109,10,0,0,0,11689
2022-04,New Hampshire,1166,0,6657,3648,226,0,15,0,13,0,0,9,0,104,13,7,0,0,0,0,0,0,0,0,11858
2022-04,New Jersey,0,0,7844,4643,1059,0,0,0,0,0,0,0,0,0,0,0,0,0,79,63,23,1,1,0,13713
2022-04,New Mexico,450,0,7274,4568,600,457,0,6,2,0,373,367,2,37,0,0,0,0,80,36,2,0,1,0,14255
2022-04,New York,3806,2311,11120,16284,2178,329,0,1,1,0,44,46,12,37,74,2,0,5,310,367,25,4,11,0,36967
2022-04,North Carolina,27640,427,1655,12435,1148,188,0,10,10,0,1690,1076,9,651,74,1,0,0,6,14,0,0,0,0,47034
2022-04,North Dakota,730,3,2128,2837,198,127,0,0,1,1,46,63,2,7,4,1,0,0,3,4,0,0,0,0,6155
2022-04,Ohio,8958,224,27592,15402,1585,1336,0,4,5,0,1209,436,8,208,72,6,0,0,10,11,1,0,0,0,57067
2022-04,Oklahoma,1851,1,14118,8899,1579,988,0,23,8,0,1679,938,7,24,1,0,0,0,27,29,8,2,1,0,30183
2022-04,Oregon,5527,416,17115,10539,0,7,4,0,0,0,0,0,0,200,56,0,0,0,0,0,0,0,0,0,33864
2022-04,Pennsylvania,30311,0,49384,21978,59,0,421,0,0,0,0,0,0,773,71,0,0,0,0,0,0,0,0,0,102997
2022-04,Puerto Rico,0,0,4724,355,49,42,0,2,0,0,36,6,1,0,0,0,0,0,711,80,4,2,0,0,6012
2022-04,Rhode Island,0,0,1251,788,88,215,0,0,0,0,1,1,0,24,6,10,0,0,11,9,1,1,0,0,2406
2022-04,South Carolina,12445,619,12404,5569,746,512,2,6,1,0,843,284,5,194,14,14,0,0,11,12,4,0,1,0,33686
2022-04,South Dakota,885,9,2693,3077,223,195,0,0,0,0,127,118,1,2,1,0,0,0,11,29,2,0,0,0,7373
2022-04,Tennessee,20346,485,29042,16037,1805,0,0,0,0,0,3,0,0,141,14,4,0,0,0,0,0,0,0,0,67877
2022-04,Texas,28691,0,64582,28526,4137,3154,12,47,16,0,6785,2573,50,189,8,0,0,0,59,28,9,2,1,0,138869
2022-04,Utah,12062,62830,5844,4761,676,0,0,4,4,1,247,162,0,195,35,48,0,0,0,0,0,0,0,0,86869
2022-04,Vermont,0,0,1772,1897,140,105,0,1,5,1,14,10,3,0,0,0,0,0,4,2,1,0,0,0,3955
2022-04,Virgin Islands,103,0,40,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,154
2022-04,Virginia,385,124,26441,15143,3368,0,0,0,0,0,0,0,0,448,100,1,0,0,0,0,0,0,0,0,46010
2022-04,Washington,17289,219,28741,13744,4558,86,7,3,11,3,327,525,37,628,73,9,0,0,370,316,199,1,2,1,67149
2022-04,West Virginia,1809,122,5647,5719,358,368,3,3,1,2,693,526,2,16,0,1,0,0,6,4,0,0,0,0,15280
2022-04,Wisconsin,14934,925,20876,16225,1303,67,0,0,1,1,121,162,21,128,31,2,0,0,0,1,0,0,0,0,54798
2022-04,Wyoming,507,20,2490,2191,206,144,14,1,0,1,126,105,0,29,3,0,0,0,3,4,1,0,0,0,5845
2022-03,Alabama,25133,414,26999,17011,1649,1366,0,22,14,0,2637,1116,14,35,0,0,0,0,38,34,10,1,1,0,76494
2022-03,Alaska,284,7,3466,2992,456,254,0,2,0,0,143,124,3,27,21,0,0,0,5,1,1,0,0,0,7786
2022-03,Arizona,5647,681,25129,12035,2067,1576,0,13,3,1,1504,575,2,191,13,0,0,0,23,12,2,0,0,0,49474
2022-03,Arkansas,2664,458,10601,7085,669,575,8,7,7,0,1284,1028,6,0,0,0,0,0,4,14,2,0,0,0,24412
2022-03,California,19327,12427,43976,29658,6490,5,0,0,0,0,730,337,29,2185,1309,235,0,0,8282,3558,804,18,21,0,129391
2022-03,Colorado,9295,20,23755,15419,1985,2083,0,0,0,0,0,0,0,371,46,10,0,0,0,0,0,0,0,0,52984
2022-03,Connecticut,11109,856,7365,2562,4358,0,2,0,0,0,0,0,0,0,0,0,0,0,566,213,157,0,0,0,27188
2022-03,Delaware,699,0,2836,1710,198,130,0,0,0,0,20,13,3,107,0,0,0,0,70,37,4,1,0,0,5828
2022-03,District of Columbia,876,0,609,15,0,2,2,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,1569
2022-03,Florida,24317,0,71992,28469,5182,3647,0,7,2,1,4187,1066,7,1257,110,5,0,0,390,258,69,44,32,0,141042
2022-03,Georgia,21664,0,25478,11240,949,1056,0,18,9,2,2164,980,9,105,0,0,0,0,16,7,0,0,0,0,63697
2022-03,Guam,0,0,212,106,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341
2022-03,Hawaii,1779,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1780
2022-03,Idaho,7838,23,7679,6750,730,537,0,3,1,0,369,332,2,74,13,0,0,0,7,14,1,3,0,0,24376
2022-03,Illinois,339247,0,30013,14121,1649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385030
2022-03,Indiana,1399,81155,30469,16666,2365,1481,0,12,8,1,832,393,18,39,8,0,0,0,38,20,6,0,0,1,134911
2022-03,Iowa,5858,16040,4005,4083,201,120,0,0,1,0,23,34,1,77,15,2,0,0,0,0,0,0,0,0,30460
2022-03,Kansas,1469,19,9230,6615,901,539,0,3,2,0,571,257,5,44,21,1,0,0,5,6,2,2,0,0,19692
2022-03,Kentucky,807,325508,15620,11957,822,987,12,12,7,0,1891,1108,5,41,3,0,0,0,21,36,2,0,0,0,358839
2022-03,Louisiana,3465,416,19917,8678,1231,875,2,11,8,0,1117,563,6,0,0,0,0,0,20,13,1,0,0,0,36323
2022-03,Maine,692,9,5138,4686,481,341,3,0,0,0,65,55,0,24,10,3,0,0,7,6,1,0,0,0,11521
2022-03,Mariana Islands,0,0,10,13,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
2022-03,Maryland,4974,27,8955,7485,139,10,0,2,0,0,104,109,4,276,26,1,0,0,0,20,0,0,0,0,22132
2022-03,Massachusetts,9957,0,7373,4314,1557,420,6,0,1,0,14,14,0,3,0,0,0,0,16,23,6,3,1,0,23708
2022-03,Michigan,20983,6557,30844,21167,2597,1170,0,0,2,2,36,295,3,105,4,0,0,0,28,5,1,1,1,0,83801
2022-03,Minnesota,21065,42102,15715,14303,1340,811,0,0,2,0,195,230,2,75,25,1,0,0,22,45,1,0,0,0,95934
2022-03,Mississippi,2950,0,14080,8203,667,645,0,5,3,1,1786,906,2,20,2,0,0,0,16,5,5,4,0,0,29300
2022-03,Missouri,1669,1,27618,20103,2688,1793,0,2,10,0,1531,830,5,293,42,4,0,0,50,51,6,2,0,0,56698
2022-03,Montana,1370,1,5447,5453,437,397,11,1,2,0,451,542,1,32,6,0,0,0,5,18,1,0,0,0,14175
2022-03,Nebraska,5410,80,176,2256,49,18,0,0,0,0,2,44,0,37,8,0,0,0,0,0,0,0,0,0,8080
2022-03,Nevada,2857,0,7657,3379,482,505,0,2,1,0,336,88,0,0,0,0,0,0,365,172,21,0,0,0,15865
2022-03,New Hampshire,1052,0,7570,4308,389,0,7,0,14,0,0,17,0,119,6,0,0,0,0,0,0,0,0,0,13482
2022-03,New Jersey,0,0,9276,6845,838,0,0,0,0,0,0,0,0,1,0,0,0,0,107,90,10,0,1,0,17168
2022-03,New Mexico,887,0,9068,5781,773,531,0,5,5,1,529,590,2,50,0,0,0,0,120,50,3,1,0,0,18396
2022-03,New York,5106,2087,12638,18735,2804,386,0,0,0,1,51,49,8,57,74,0,1,3,313,380,42,9,7,4,42755
2022-03,North Carolina,40807,155,1968,17087,1563,302,0,13,13,0,2018,1474,9,878,149,2,0,0,3,20,1,0,2,0,66464
2022-03,North Dakota,1145,3,2629,3442,224,196,0,0,1,1,53,90,0,13,1,0,0,0,2,2,1,0,0,0,7803
2022-03,Ohio,13336,294,35780,18954,2044,1672,0,6,1,2,1476,583,2,163,81,7,0,0,19,8,2,4,2,0,74436
2022-03,Oklahoma,2379,6,16924,11028,1862,1258,1,24,6,0,1962,1240,14,21,3,0,0,0,34,44,13,1,1,0,36821
2022-03,Oregon,7209,472,19399,12285,0,13,14,0,0,0,0,0,0,156,48,0,0,0,0,0,0,0,0,0,39596
2022-03,Pennsylvania,39213,0,58010,25770,53,0,429,0,0,0,0,0,0,865,116,0,0,0,0,0,0,0,0,0,124456
2022-03,Puerto Rico,0,0,6095,438,74,61,0,0,0,0,33,10,1,0,0,0,0,0,1000,87,1,2,0,0,7802
2022-03,Rhode Island,0,0,1614,1061,137,281,0,0,0,0,4,1,0,9,12,11,0,0,15,13,1,0,1,0,3160
2022-03,South Carolina,14418,417,16840,7787,906,660,0,4,1,3,1023,458,6,178,17,48,0,0,17,16,3,1,0,0,42803
2022-03,South Dakota,1222,17,3120,3694,288,209,0,1,1,0,140,152,0,5,1,0,0,0,13,35,5,0,0,0,8903
2022-03,Tennessee,26109,171,36454,20535,2205,0,0,0,0,0,2,0,0,162,8,0,0,0,0,0,0,0,0,0,85646
2022-03,Texas,28868,0,82218,37664,5214,3972,41,58,26,3,8425,3240,65,231,13,0,0,0,68,48,9,5,2,1,170171
2022-03,Utah,13866,62596,6989,5987,733,0,0,3,6,0,280,220,0,215,44,38,0,0,0,0,0,0,0,0,90977
2022-03,Vermont,0,0,2342,2188,155,150,1,3,0,1,11,19,4,0,0,0,0,0,1,3,0,0,0,0,4878
2022-03,Virgin Islands,113,0,40,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,175
2022-03,Virginia,437,172,31656,18081,4033,0,0,0,0,0,0,0,0,497,85,0,0,0,0,0,0,0,0,0,54961
2022-03,Washington,19656,216,34398,16494,5437,93,10,2,15,8,404,633,49,628,91,5,0,0,514,394,236,2,2,4,79291
2022-03,West Virginia,2623,138,7318,7219,420,569,3,0,0,0,867,773,3,6,0,0,0,0,7,1,3,1,0,0,19951
2022-03,Wisconsin,16732,695,26415,18554,1476,75,0,0,1,4,167,147,27,170,69,4,0,0,0,1,0,0,0,0,64537
2022-03,Wyoming,647,18,2946,2522,232,214,27,0,1,0,167,152,1,28,8,1,0,0,2,6,0,0,0,0,6972
2022-02,Alabama,25401,499,21822,14541,1351,1260,0,13,5,0,2989,1109,12,36,0,0,0,0,28,29,2,1,0,0,69098
2022-02,Alaska,301,0,2644,2178,348,202,0,0,1,1,127,74,2,23,9,0,0,0,2,4,0,0,0,0,5916
